date, pm25, pm10, o3, no2, so2, co
2014-01-01, ,124,22,40,6,28
2014-01-02,186,144,69,39,8,43
2014-01-03,227,151,24,25,12,28
2014-01-04,253, , , , , 
2014-01-05, ,115,65,35,5,33
2014-01-06,188,85,46,30,3,27
2014-01-07,167,80,20,28,10,27
2014-01-08,163,75,29,23,7,22
2014-01-09,165,103,21,32,12,32
2014-01-10,189,115,17,20,6,25
2014-01-11,206,69,19,17,5,20
2014-01-12,150,59,32,17,6,17
2014-01-13,133,77,93,27,9,21
2014-01-14,162,85,96,35,11,22
2014-01-15,171,90,104,37,10,23
2014-01-16,179,100,54,29,6,28
2014-01-17,191,102,65,36,9,31
2014-01-18,194,102,66,35,16,28
2014-01-19,199, , , , , 
2014-01-20, ,100, ,57,22,39
2014-01-21,179,91,55,41,13,28
2014-01-22,180,108,33,47,10,30
2014-01-23,183,94,35,34,2,24
2014-01-24,166,101,19,31,3,26
2014-01-25,183,97,17,29,5,26
2014-01-26,181,85,23,34,4,29
2014-01-27,167,65,23,29,3,24
2014-01-28,153,69,18,28,3,25
2014-01-29,154,76,27,22,3,23
2014-01-30,164,61,34,15,2,16
2014-01-31,134,38,21,16,2,13
2014-02-01,101,39,20,18,2,14
2014-02-02,101,37,20,20,2,14
2014-02-03,94,33,23,17,2,13
2014-02-04,84,31,17,15,2,14
2014-02-05,84,37,19,17,2,18
2014-02-06,99,29,15,17,2,20
2014-02-07,81,43,10,16,2,19
2014-02-08,120,46,12,14,2,17
2014-02-09,125,47,19,15,1,15
2014-02-10,127,62,23,14,1,14
2014-02-11,159,86,14,27,1,23
2014-02-12,183,62,25,18,4,16
2014-02-13,154,76,29,27,7,18
2014-02-14,168,96,18,37,8,24
2014-02-15,187,107,20,24,3,21
2014-02-16,209,84,13,26,1,31
2014-02-17,182,54,14,16,1,30
2014-02-18,125,56,24,18,2,19
2014-02-19,128,72,36,28,2,19
2014-02-20,147,81,17,38,4,27
2014-02-21,161,68,8,26,4,26
2014-02-22,160,55,3,21,3,28
2014-02-23,145,68,9,29,2,27
2014-02-24,148,57,8,27,1,25
2014-02-25,133,65,1,27,2,22
2014-02-26,154,57,3,30,2,30
2014-02-27,140,47,10,22,1,25
2014-02-28,121,39,3,17, ,14
2014-03-01,106,83,5,30,2,26
2014-03-02,166,68,7,25,2,30
2014-03-03,158,71,4,21,2,25
2014-03-04,162,72,6,23,2,26
2014-03-05,160,55,3,28,2,36
2014-03-06,139,37,1,18,2,29
2014-03-07,107,30,1,16,2,25
2014-03-08,90,39,4,16,1,15
2014-03-09,97,52,2,17,1,17
2014-03-10,125,69,2,22,2,26
2014-03-11,153,56,4,25,2,29
2014-03-12,132,52,7,19,2,24
2014-03-13,138,73,11,26,2,18
2014-03-14,160,67,11,34,3,22
2014-03-15,147,50,8,25,2,19
2014-03-16,121,74,1,27,4,33
2014-03-17,157,48,2,21,2,23
2014-03-18,117,51,1,27,2,30
2014-03-19,124,59,2,26,2,28
2014-03-20,146,53,16,19,1,12
2014-03-21,131,44,7,22,1,14
2014-03-22,115,45,3,19,1,22
2014-03-23,122,47,9,30,2,22
2014-03-24,118,61,14,28,2,19
2014-03-25,133,57,7,28,2,23
2014-03-26,132,57,4,25,2,23
2014-03-27,131,44,4,20,2,23
2014-03-28,104,41,1,19,2,25
2014-03-29,101,50,5,24,2,21
2014-03-30,122,62,11,30,2,23
2014-03-31,147,64,6,33,2,28
2014-04-01,147,73,6,30,2,26
2014-04-02,164,56,4,26,5,28
